Country,electricity,mortality,emissions,emissionsCapita,CPI,Current health expenditure (% of GDP),GDPGrowth,GDP,EducationSpending,Internet,lifeexp,Literacy,popLargeCity,Unemployment,population,continent,,unemploymentr
Botswana,67.4,25.396,7870,3.569037983,141.143034,6.13456821,2.903997732,7859,..,41.41379464,68.812,..,..,..,2359585,Africa,7852,
Montenegro,100,11.775,2230,3.583060319,113.3600412,..,4.716438739,7852,..,71.27233254,76.667,..,..,16.07,628080,Europe,7837,
Maldives,99.8,14.891,1820,3.666412838,136.4453368,9.02997589,7.210479788,7837,..,63.18566588,78.325,..,..,..,542151,Asia,7620,
Colombia,98.5,15.098,76060,1.555106166,131.8772691,7.67864275,1.359360868,7620,16.14031982,62.25988032,76.925,..,10277518,8.87,50976248,South America,7475,
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Africa,7475,
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,North America,7475,
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Africa,7475,
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Asia,7475,
South Africa,84.4,20.908,435140,7.632729355,146.0537215,8.11311913,1.414512626,7475,18.71529961,56.16739447,63.538,87.04666901,5313563,27.04,59436725,Africa,7346,
China,100,12.43,10017770,7.225768991,119.0880504,5.15119171,6.947200793,7346,..,54.3,76.47,..,24862075,3.9,1440297825,Asia,7318,
Turkmenistan,100,24.615,71960,12.49811773,..,6.93379545,6.500000047,7318,..,21.25099741,67.956,..,790827,..,6046292,..,7273,
Dominican Republic,100,19.799,23390,2.224840963,125.3535344,5.83058691,4.666704677,7273,..,67.57124533,73.689,..,3094465,5.83,10866667,North America,7273,
Dominican Republic,100,19.799,23390,2.224840963,125.3535344,5.83058691,4.666704677,7273,..,67.57124533,73.689,..,3094465,5.83,10866667,North America,7273,
Dominican Republic,100,19.799,23390,2.224840963,125.3535344,5.83058691,4.666704677,7273,..,67.57124533,73.689,..,3094465,5.83,10866667,Africa,7085,
Libya,70.33727264,19.38,56810,8.632790044,..,..,26.68090263,7085,..,21.75892062,72.52,..,1149730,..,6887247,Africa,6948,
Iran,99.94,19.011,620780,7.694930979,333.6733224,8.65966415,3.755196452,6948,20.04203033,64.04397362,76.271,..,8780950,12.23,84176929,Asia,6948,
Iran,99.94,19.011,620780,7.694930979,333.6733224,8.65966415,3.755196452,6948,20.04203033,64.04397362,76.271,..,8780950,12.23,84176929,Asia,6730,
St. Vincent and the Grenadines,99.97125244,14.403,270,2.458434251,107.1747766,4.3064785,1.000357879,6730,18.94894981,65.56,72.3,..,..,..,..,North America,6565,
Serbia,100,9.2,46900,6.680095225,138.6654534,8.23131752,2.101163847,6565,9.25646019,70.33083553,75.53902439,..,1382669,13.48,8731081,Europe,6565,
Serbia,100,9.2,46900,6.680095225,138.6654534,8.23131752,2.101163847,6565,9.25646019,70.33083553,75.53902439,..,1382669,13.48,8731081,Asia,6561,
Dominica,100,9.6,170,2.378953261,102.8522234,5.44028521,-6.79942797,6561,..,69.61966879,..,..,..,..,72017,North America,6561,
Dominica,100,9.6,170,2.378953261,102.8522234,5.44028521,-6.79942797,6561,..,69.61966879,..,..,..,..,72017,North America,6375,
Belarus,100,10.8,56240,5.921082,459.0252181,5.75974846,2.5321835,6375,12.28168964,74.43644541,74.12926829,..,1984675,5.65,9448772,Europe,6363,
Lebanon,100,17.67,29280,4.293649871,118.9993072,8.44765568,0.850699559,6363,..,78.18077489,78.833,..,2331897,..,6819976,Asia,6314,
Peru,94.8,18.134,53990,1.717004408,125.4163418,4.99378443,2.518835442,6314,18.23591995,50.45041218,76.286,94.14961243,10194477,3.69,33050211,South America,6142,
Thailand,99.9,10.513,260660,3.766228713,111.2868092,3.83202839,4.177681032,6142,..,52.89192934,76.683,..,9898653,0.83,69830779,Asia,6076,
Namibia,52.5,29.105,4330,1.802197016,146.0320916,8.28922272,-1.027250823,6076,..,36.83740647,63.021,..,391736,..,2548663,Africa,6076,
Namibia,52.5,29.105,4330,1.802197016,146.0320916,8.28922272,-1.027250823,6076,..,36.83740647,63.021,..,391736,..,2548663,Africa,6076,
Namibia,52.5,29.105,4330,1.802197016,146.0320916,8.28922272,-1.027250823,6076,..,36.83740647,63.021,..,391736,..,2548663,Africa,5828,
Bosnia and Herzegovina,100,8.293,22650,6.758099426,102.8515861,8.93159008,3.171434875,5828,..,64.89202051,77.128,..,342509,20.53,3277152,Europe,5765,
Azerbaijan,100,14.6,31970,3.244356904,149.5083333,3.73651457,0.153614647,5765,6.950399876,79,72.693,99.79122925,2258971,5,10154978,Europe,5706,
Iraq,99.83660889,29.693,174290,4.641199885,119.4183812,4.12501717,-1.753660845,5706,..,49.35999889,70.294,85.59999847,6654984,13.02,40372771,Asia,5706,
Iraq,99.83660889,29.693,174290,4.641199885,119.4183812,4.12501717,-1.753660845,5706,..,49.35999889,70.294,85.59999847,6654984,13.02,40372771,Asia,5617,
Guyana,90.33874512,20.202,2320,2.992706568,112.3742898,5.65979004,3.734494656,5617,17.63573074,37.32583679,69.624,..,..,..,787215,South America,5617,
Guyana,90.33874512,20.202,2320,2.992706568,112.3742898,5.65979004,3.734494656,5617,17.63573074,37.32583679,69.624,..,..,..,787215,Africa,5303,
North Macedonia,100,10.953,7860,3.775223391,110.9158333,6.5939827,1.081772738,5303,..,74.51682418,75.589,..,575931,22.38,2083359,Europe,5269,
Paraguay,99.3,20.787,8000,1.164982151,134.6105574,6.65456867,4.810078856,5269,..,61.07575622,73.992,..,3134940,4.61,7147553,South America,5205,
Ecuador,99.2,19.968,37760,2.249579931,124.0914087,8.25742912,2.368386526,5205,..,..,76.584,92.82978821,2844281,3.84,17688599,South America,4864,
Albania,99.89,11.934,5600,1.948872038,115.0592696,5.01059723,3.802197488,4864,12.39080048,62.4,78.333,..,466651,13.62,2877239,Europe,4793,
Algeria,99.61513519,24.846,145100,3.505747662,142.3842032,6.38032866,1.3,4793,..,47.69105515,76.499,..,2659373,13.57,43984569,Africa,4793,
Algeria,99.61513519,24.846,145100,3.505747662,142.3842032,6.38032866,1.3,4793,..,47.69105515,76.499,..,2659373,13.57,43984569,Africa,4785,
Jamaica,97.62187195,16.286,7190,2.461613887,150.7515234,6.14377928,0.997123062,4785,18.40254021,55.07206705,74.267,..,588487,11.63,2963429,North America,4698,
Eswatini,73.5,26.773,1040,0.924602243,155.1280446,6.91085625,2.026570236,4698,..,..,58.319,..,..,..,1162233,Africa,4650,
Fiji,96,21.56,1810,2.062772092,124.8947972,3.18689561,5.353631074,4650,..,49.96637301,67.252,99.08210754,..,..,897573,Oceania,4512,
Georgia,100,13.718,9630,2.583151735,124.1808583,7.05804443,4.842603225,4512,12.9533596,59.7055046,73.414,99.36425781,1077597,13.94,3987805,Europe,4415,
